Label,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,LBP_Mean,LBP_SD,LBP_PCA,Gabor Energy,Contour Area,Perimeter,Circularity,Aspect Ratio,Eccentricity,Solidity,Convexity,Extent,Hu_PCA,Edge Count,Curvature,Num Corners
0,16251.640636482936,1.52587890625e-05,9.38860559589369e-10,1.461243641486457e-05,-0.02317398348781591,23.886653645833334,1.6554963693699614,-0.11334635416671095,1.3374446614583333,1764.0,4084.4371769428253,0.0013287522219439837,0.0,0.0,0.03413576902237015,0.03413576902237015,1764.0,0.0,2001,0.0002448317740434665,7
0,16251.51501968504,1.5258789062500003e-05,9.38867769946958e-10,1.4593471976445567e-05,-0.023173869345526135,23.88212890625,1.6836471136122455,-0.11787109374988691,1.3886002604166667,2085.5,4191.47375369072,0.0014917174020975905,0.0,0.0,0.04006339448660071,0.04006339448660071,521.375,0.0,2018,0.00023857956861103322,6
0,16251.887631233598,1.52587890625e-05,9.38845548340908e-10,1.4631535283415192e-05,-0.02317925626085478,23.890690104166666,1.62309721700198,-0.10930989583332093,1.255810546875,1907.5,4256.562067747116,0.0013229897200566364,0.0,0.0,0.03309190267597693,0.03309190267597693,1907.5,0.0,1967,0.0002349313798516447,5
0,16251.910104986875,1.52587890625e-05,9.388442196533845e-10,1.4639753195766792e-05,-0.023181312023568584,23.891337890625,1.6192524056730138,-0.10866210937501727,1.2908072916666666,1983.0,4708.9611213207245,0.001123782768744295,0.0,0.0,0.030748476531609063,0.030748476531609063,330.5,0.0,1966,0.00021236106526178528,4
0,16251.92492125984,1.52587890625e-05,9.388433089762789e-10,1.463330703340075e-05,-0.02318037966128576,23.894596354166666,1.5966201993675193,-0.1054036458333401,1.2310319010416666,2180.5,4703.488034486771,0.0012385851478057788,0.0,0.0,0.03277887600249543,0.03277887600249543,2180.5,0.0,2010,0.00021260817348058093,4
0,16252.039094488191,1.52587890625e-05,9.388364126360784e-10,1.4640172034753119e-05,-0.023182215549904513,23.896722005208332,1.5836077397828496,-0.10327799479161746,1.2986946614583332,2031.0,4718.735727906227,0.001146221305202125,0.0,0.0,0.03058619780881744,0.03058619780881744,2031.0,0.0,1974,0.0002119211707674324,4
0,16251.789960629922,1.5258789062499998e-05,9.388512302727756e-10,1.4619107340790089e-05,-0.023178039744345305,23.891845703125,1.6178745757502777,-0.108154296875017,1.2547591145833332,2248.5,4652.659606099129,0.0013052695163753409,0.0,0.0,0.033422022712408586,0.033422022712408586,2248.5,0.0,2008,0.0002149308319673997,4
0,16251.90665354331,1.52587890625e-05,9.38844193579491e-10,1.462851234718167e-05,-0.023181318631806412,23.892399088541666,1.613759452302295,-0.10760091145830379,1.23671875,1964.0,4855.637309551239,0.0010467883194163019,0.0,0.0,0.029027704904706655,0.029027704904706655,1964.0,0.0,1970,0.00020594618919188192,4
0,16251.868024934387,1.52587890625e-05,9.388463806920666e-10,1.4621560350419234e-05,-0.023175017376661746,23.890729166666667,1.6226164376502044,-0.109270833333223,1.231640625,2246.5,4842.223095178604,0.0012040005835669393,0.0,0.0,0.03436171189085013,0.03436171189085013,2246.5,0.0,2016,0.0002065167135722637,4
0,16251.745702099737,1.52587890625e-05,9.388539063874665e-10,1.4606692611449732e-05,-0.023172504143665496,23.888671875,1.6436317468999306,-0.11132812500002823,1.2848795572916667,2116.5,4916.5073664188385,0.0011003092106163593,0.0,0.0,0.03227675814162734,0.03227675814162734,2116.5,0.0,2044,0.00020339642056275316,4
0,16251.224934383203,1.52587890625e-05,9.388855713064248e-10,1.4569729906929218e-05,-0.023172890725578505,23.882587890625,1.69005214284366,-0.11741210937501154,1.5027701822916666,2557.0,5038.715517044067,0.0012656129617122374,0.0,0.0,0.039152037605555086,0.039152037605555086,2557.0,0.0,2019,0.000198463278313169,4
0,16251.70849081365,1.52587890625e-05,9.38856259679651e-10,1.4612253498601896e-05,-0.02317761501487755,23.886650390625,1.6535080027060252,-0.11334960937492604,1.2977115885416666,2176.0,4725.411914229393,0.0012245863413530953,0.0,0.0,0.0330292497078065,0.0330292497078065,1088.0,0.0,1965,0.00021162176295970109,6
0,16251.83036745407,1.5258789062500003e-05,9.388489615613578e-10,1.462351433743541e-05,-0.02317862487376764,23.892194010416667,1.61612528645728,-0.10780598958326311,1.269326171875,2061.0,4866.784497857094,0.0010934618205234146,0.0,0.0,0.0323852922690132,0.0323852922690132,2061.0,0.0,1967,0.0002054744771296762,5
0,16252.32585301837,1.5258789062499997e-05,9.38819218148721e-10,1.4682494128144827e-05,-0.023190544933313868,23.89921875,1.560780108118513,-0.10078124999998622,1.1298274739583334,1819.5,4477.0961176157,0.0011406938168839538,0.0,0.0,0.031060618993154543,0.031060618993154543,1819.5,0.0,1857,0.00022335906438670678,5
